"","Name","Region","State.Abbreviation","County.FIPS.Code","Population","Premature.death","Life.expectancy","Child.mortality","Poor.or.fair.health","Unemployment","Income.inequality","Median.income","Homeownership","Food.insecurity","Severe.housing.problems","School.funding.adequacy","High.school.completion","Reading.scores","Free.or.reduced.lunch.eligibility","Adult.smoking","Excessive.drinking","Physical.inactivity","Adult.obesity","Uninsured","Uninsured.children","Primary.care.physicians","Not.proficient.in.English","Rural"
"3033","Raleigh County","South","WV",81,72920,14848.05358,71.51488852,4714450.604,26.4,8.9241253,5.348725097,44526,74.1290654,13.8,10.3309769,304337.8,87.5126277,2.925233774,58.4416718,25,14.2808924,34.6,41.1,8.0067014,2.6779925,0.000790611,0.2565193,39.2586769
"3034","Randolph County","South","WV",83,28387,9065.853896,76.4280452,6024096.386,25.5,9.1717891,4.877526954,48306,71.1578756,13.9,11.3282985,248735.1,86.8544601,2.798708674,49.8060512,26.3,15.1075223,33.4,36.8,8.9582509,3.3571822,0.000696986,0.0329634,62.3839483
"3035","Ritchie County","South","WV",85,9499,9768.232094,76.18688422,4673833.211,26.7,8.3655376,3.664512726,45066,80.3893295,14.4,6.3613232,200871.5,83.6358559,2.906904431,54.5115585,26.3,15.2449071,34.1,40.2,9.1356674,4.0145985,0.000209336,0.5065747,100
"3036","Roane County","South","WV",87,13482,13105.33436,72.83977061,10563380.28,27.5,12.4414977,4.306304797,42379,76.1385962,17,9.9471831,234167.6,81.2958312,2.694889467,55.1912568,27.2,13.794419,34.7,40.4,10.1281561,4.0311174,0.000511397,0,79.9946402
"3037","Summers County","South","WV",89,12444,13135.08053,74.13162907,15919666.91,27.4,7.8382084,3.99240792,38692,74.3991455,16.5,11.9307832,-138246.3,85.6136112,2.686202481,60.7167471,25.7,13.798561,35.5,44.3,8.3572453,3.1807229,0.000318142,0.1555847,72.126086
"3038","Taylor County","South","WV",91,16699,9276.495721,75.97228893,4377804.531,24,7.3694985,4.44790414,53587,78.7938036,12.9,8.033033,317454.3,90.7261311,2.948133659,49.2543496,25.6,15.7258436,33,38.8,8.0918064,3.1046718,0.000359389,0.3444173,59.7040545
"3039","Tucker County","South","WV",93,6816,9635.455729,75.51553765,5402701.351,23,8.4750911,3.74228627,44461,79.5969773,12.2,8.5346216,282921.4,88.1916079,2.588030945,55.1229508,23.2,15.8953782,29.9,40,9.1744994,3.8500507,0.000438661,0.030216,100
"3040","Tyler County","South","WV",95,8533,9435.460547,77.13496089,7318858.258,24.2,10.3372203,4.400496786,46693,85.2439741,13.7,8.6363636,420347.8,89.35609,2.782934332,45.5941795,25.3,15.396331,33,41.2,6.9054878,3.0250145,0.000349203,0.1807665,91.0512598
"3041","Upshur County","South","WV",97,24230,7942.085006,77.75009759,6037128.339,26.5,9.5751295,5.150876561,46171,76.0633862,13.8,10.7142857,159325.6,86.6603201,2.721807079,50.7973856,25.7,14.0595266,34.1,39.3,9.7047123,3.7007241,0.00062045,0.0517576,64.0018141
"3042","Wayne County","South","WV",99,39054,13282.70641,73.30705424,6206168.932,27.7,8.3848971,5.977260083,45507,74.9802995,16.9,12.3101266,130258.5,81.1449562,2.952889921,52.7305282,28.4,13.9458824,34.6,39.6,8.9062602,2.9915056,0.000583727,0.1450384,65.1867894
"3043","Webster County","South","WV",101,8058,11725.56351,74.30385037,7095641.782,30.2,9.375,4.798506942,34396,74.3160246,17,12.7296588,-209209.5,76.400934,2.120804479,69.0438872,28.9,13.3331377,36.7,43.6,8.0533597,3.362391,0.000369731,0,100
"3044","Wetzel County","South","WV",103,14904,9851.67406,75.23309214,6127987.394,26.4,9.841411,4.266929095,47322,81.2354699,15.7,8.9983022,766849.5,86.5979381,2.823272585,54.8190321,27.2,15.3478145,32.8,42.7,7.7926596,3.3517735,0.000464653,0,53.8563589
"3045","Wirt County","South","WV",105,5705,10750.18799,76.48349789,7667328.162,27.8,10.7361963,4.630002965,49504,82.0883848,15,6.2,158464.8,83.126151,2.736054495,52.3570712,27.8,14.2710628,34.4,41.5,7.8135259,3.3280507,0.000171792,0,100
"3046","Wood County","South","WV",107,82938,10513.09059,74.73693272,5118216.586,23.4,8.8462066,4.794685147,47019,72.1532297,13.4,9.9944475,340387.5,90.9486264,3.055538278,49.0439614,23,15.1420895,30.8,40.2,7.3144238,2.6528323,0.00086209,0.21487,26.7744607
"3047","Wyoming County","South","WV",109,20123,14249.48965,71.32673289,7426449.586,29.3,10.4688211,4.360712571,39143,84.8282223,18.1,10.9348442,9086.426,78.0682118,3.127684075,51.6095535,29.7,13.4520223,38.4,42.3,9.0256606,3.1633617,0.00024517,0.2517116,88.8846865
"3048","Adams County","Midwest","WI",1,20498,10458.5137,76.88230354,6701414.743,17.7,9.5190754,4.014812855,52060,82.6473494,12,14.675174,-165310.4,87.446021,2.452537684,61.2543554,20.4,25.5275113,27.5,37.9,9.1098106,6.2371487,4.9456e-05,0.9037529,100
"3049","Ashland County","Midwest","WI",3,15415,9014.482183,75.78749958,4884667.571,18,8.4699454,5.202748558,52115,70.6617307,13.6,12.2230711,-42999.26,93.2713964,3.047359415,59.775525,21.2,24.9443035,25.7,36.7,8.9255499,4.7397499,0.001799255,0.081861,54.8616699
"3050","Barron County","Midwest","WI",5,45090,6656.631093,78.48615913,4884444.33,15.9,6.1156956,3.971910112,54963,75.8906553,10.1,12.8466771,192028.0943,90.589809,2.880711222,45.0553746,18.1,24.1039223,25.2,35.1,8.9212339,4.9924204,0.001105119,0.5351092,65.9276215
"3051","Bayfield County","Midwest","WI",7,15242,7120.745304,79.69628496,3849538.055,14.6,9.2985539,4.051473227,58218,81.5189873,11,13.2089017,336770.8325,95.6848192,3.506283046,50.2528445,17.8,26.1867847,22.7,37.5,10.7448912,7.6836582,0.000399042,0.1453589,100
"3052","Brown County","Midwest","WI",9,264610,5936.206034,79.45859282,4927055.544,14.5,6.0097968,3.916529121,64905,64.878196,8.8,12.2821338,420641.515,92.47999,2.956009963,40.4697421,15.4,25.4704701,21.7,34.8,7.7916598,4.713217,0.000714442,2.2247977,14.494349
